Mode,Dept,Arr,Duration,Price,Company,Price_sort,Duration_min,added_arrival,Custom_weighting
Bus,2024-05-14 04:50:00,2024-05-14 08:20:00,3h 30m,$8.99,FlixBus US,8.99,210,2024-05-14 08:50:00,0.038102465698575
Bus,2024-05-14 16:55:00,2024-05-14 20:20:00,3h 25m,$14.99,FlixBus US,14.99,205,2024-05-14 20:50:00,0.0414244316745474
Bus,2024-05-14 16:00:00,2024-05-14 19:30:00,3h 30m,$15.00,Peter Pan Lines,15.0,210,2024-05-14 20:00:00,0.0428530031031189
Bus,2024-05-14 15:00:00,2024-05-14 18:30:00,3h 30m,$15.00,Peter Pan Lines,15.0,210,2024-05-14 19:00:00,0.0428530031031189
Bus,2024-05-14 13:00:00,2024-05-14 16:30:00,3h 30m,$17.00,Peter Pan Lines,17.0,210,2024-05-14 17:00:00,0.0428530031031189
Bus,2024-05-14 10:30:00,2024-05-14 14:00:00,3h 30m,$17.00,Peter Pan Lines,17.0,210,2024-05-14 14:30:00,0.0428530031031189
Bus,2024-05-14 09:00:00,2024-05-14 12:30:00,3h 30m,$15.00,Peter Pan Lines,15.0,210,2024-05-14 13:00:00,0.0428530031031189
Bus,2024-05-14 10:40:00,2024-05-14 14:20:00,3h 40m,$14.99,Greyhound,14.99,220,2024-05-14 14:50:00,0.0457101459602617
Bus,2024-05-14 08:00:00,2024-05-14 11:30:00,3h 30m,$19.00,Peter Pan Lines,19.0,210,2024-05-14 12:00:00,0.0476035405076627
Bus,2024-05-14 08:20:00,2024-05-14 12:20:00,4h 0m,$14.99,Greyhound,14.99,240,2024-05-14 12:50:00,0.0514244316745474
Bus,2024-05-14 15:10:00,2024-05-14 19:15:00,4h 5m,$14.99,Greyhound,14.99,245,2024-05-14 19:45:00,0.0528530031031189
Bus,2024-05-14 11:05:00,2024-05-14 14:25:00,3h 20m,$28.99,FlixBus US,28.99,200,2024-05-14 14:55:00,0.0542474724596077
Bus,2024-05-14 09:55:00,2024-05-14 13:15:00,3h 20m,$27.99,FlixBus US,27.99,200,2024-05-14 13:45:00,0.0542474724596077
Bus,2024-05-14 09:45:00,2024-05-14 13:05:00,3h 20m,$27.99,Greyhound,27.99,200,2024-05-14 13:35:00,0.0542474724596077
Bus,2024-05-14 12:05:00,2024-05-14 15:30:00,3h 25m,$27.99,FlixBus US,27.99,205,2024-05-14 16:00:00,0.0556760438881791
Bus,2024-05-14 08:05:00,2024-05-14 11:30:00,3h 25m,$27.99,FlixBus US,27.99,205,2024-05-14 12:00:00,0.0556760438881791
Bus,2024-05-14 14:35:00,2024-05-14 18:05:00,3h 30m,$27.99,FlixBus US,27.99,210,2024-05-14 18:35:00,0.0571046153167505
Bus,2024-05-14 09:15:00,2024-05-14 12:45:00,3h 30m,$27.99,FlixBus US,27.99,210,2024-05-14 13:15:00,0.0571046153167505
Bus,2024-05-14 02:15:00,2024-05-14 05:30:00,3h 15m,$35.00,Wanda Coach,35.0,195,2024-05-14 06:00:00,0.0575694384355801
Bus,2024-05-14 07:35:00,2024-05-14 11:10:00,3h 35m,$27.99,FlixBus US,27.99,215,2024-05-14 11:40:00,0.058533186745322
Bus,2024-05-14 06:10:00,2024-05-14 09:50:00,3h 40m,$27.99,FlixBus US,27.99,220,2024-05-14 10:20:00,0.0599617581738934
Bus,2024-05-14 14:30:00,2024-05-14 18:30:00,4h 0m,$30.00,Wanda Coach,30.0,240,2024-05-14 19:00:00,0.0656760438881791
Bus,2024-05-14 09:55:00,2024-05-14 13:55:00,4h 0m,$27.99,FlixBus US,27.99,240,2024-05-14 14:25:00,0.0656760438881791
Bus,2024-05-14 03:15:00,2024-05-14 07:00:00,3h 45m,$35.00,Wanda Coach,35.0,225,2024-05-14 07:30:00,0.0661408670070087
Bus,2024-05-14 14:35:00,2024-05-14 18:45:00,4h 10m,$27.99,FlixBus US,27.99,250,2024-05-14 19:15:00,0.068533186745322
Bus,2024-05-14 01:45:00,2024-05-14 05:40:00,3h 55m,$35.99,Greyhound,35.99,235,2024-05-14 06:10:00,0.0689980098641516
Bus,2024-05-14 01:30:00,2024-05-14 05:30:00,4h 0m,$35.00,Wanda Coach,35.0,240,2024-05-14 06:00:00,0.070426581292723
Bus,2024-05-14 04:30:00,2024-05-14 09:00:00,4h 30m,$30.00,Wanda Coach,30.0,270,2024-05-14 09:30:00,0.0742474724596077
Bus,2024-05-14 04:20:00,2024-05-14 08:55:00,4h 35m,$27.99,Greyhound,27.99,275,2024-05-14 09:25:00,0.0756760438881791
Bus,2024-05-14 14:25:00,2024-05-14 19:15:00,4h 50m,$27.99,Greyhound,27.99,290,2024-05-14 19:45:00,0.0799617581738934
Bus,2024-05-14 10:15:00,2024-05-14 15:05:00,4h 50m,$27.99,Greyhound,27.99,290,2024-05-14 15:35:00,0.0799617581738934
Train,2024-05-14 08:27:00,2024-05-14 11:14:00,2h 47m,$69.00,Amtrak,69.0,167,2024-05-14 11:44:00,0.0822517716959588
Bus,2024-05-14 07:25:00,2024-05-14 13:25:00,6h 0m,$14.99,Greyhound,14.99,360,2024-05-14 13:55:00,0.0857101459602617
Train,2024-05-14 08:12:00,2024-05-14 11:14:00,3h 2m,$69.00,Amtrak,69.0,182,2024-05-14 11:44:00,0.0865374859816731
Bus,2024-05-14 07:00:00,2024-05-14 12:00:00,5h 0m,$35.00,Wanda Coach,35.0,300,2024-05-14 12:30:00,0.0875694384355801
Bus,2024-05-14 12:10:00,2024-05-14 17:15:00,5h 5m,$34.48,FlixBus US,34.48,305,2024-05-14 17:45:00,0.0889980098641516
Train,2024-05-14 10:19:00,2024-05-14 12:56:00,2h 37m,$96.00,Amtrak Northeast Regional,96.0,157,2024-05-14 13:26:00,0.1031473158615354
Train,2024-05-14 09:35:00,2024-05-14 12:12:00,2h 37m,$96.00,Amtrak Northeast Regional,96.0,157,2024-05-14 12:42:00,0.1031473158615354
Train,2024-05-14 11:54:00,2024-05-14 14:34:00,2h 40m,$96.00,Amtrak Northeast Regional,96.0,160,2024-05-14 15:04:00,0.1045758872901068
Train,2024-05-14 16:14:00,2024-05-14 18:58:00,2h 44m,$96.00,Amtrak Northeast Regional,96.0,164,2024-05-14 19:28:00,0.1060044587186782
Train,2024-05-14 10:53:00,2024-05-14 13:36:00,2h 43m,$96.00,Amtrak,96.0,163,2024-05-14 14:06:00,0.1060044587186782
Train,2024-05-14 05:44:00,2024-05-14 08:27:00,2h 43m,$96.00,Amtrak Northeast Regional,96.0,163,2024-05-14 08:57:00,0.1060044587186782
Bus,2024-05-14 05:05:00,2024-05-14 11:10:00,6h 5m,$34.98,Greyhound,34.98,365,2024-05-14 11:40:00,0.1061408670070087
Train,2024-05-14 07:54:00,2024-05-14 10:45:00,2h 51m,$96.00,Amtrak Northeast Regional,96.0,171,2024-05-14 11:15:00,0.1074330301472497
Train,2024-05-14 07:14:00,2024-05-14 10:02:00,2h 48m,$96.00,Amtrak Northeast Regional,96.0,168,2024-05-14 10:32:00,0.1074330301472497
